Occupation,Hierarchy Levels,variable,value
 Chiropractors ,2,Violence and other injuries by persons or animals,0
 Chiropractors ,3,Violence and other injuries by persons or animals,0
 Therapists ,2,Violence and other injuries by persons or animals,0
 Occupational therapists ,3,Violence and other injuries by persons or animals,0
 Registered nurses ,2,Violence and other injuries by persons or animals,0
 Registered nurses ,3,Violence and other injuries by persons or animals,0
 Emergency medical technicians and paramedics ,2,Violence and other injuries by persons or animals,0
 Emergency medical technicians and paramedics ,3,Violence and other injuries by persons or animals,0
 Nursing assistants ,3,Violence and other injuries by persons or animals,0
 Occupational therapy and physical therapist assistants and aides ,1,Violence and other injuries by persons or animals,0
 Occupational therapist assistants and aides ,2,Violence and other injuries by persons or animals,0
 Occupational therapy assistants ,3,Violence and other injuries by persons or animals,0
 Miscellaneous healthcare support occupations ,2,Violence and other injuries by persons or animals,0
 Phlebotomists ,3,Violence and other injuries by persons or animals,0
 First-line supervisors of fire fighting and prevention workers ,2,Violence and other injuries by persons or animals,0
 First-line supervisors of fire fighting and prevention workers ,3,Violence and other injuries by persons or animals,0
" Miscellaneous first-line supervisors, protective service workers ",2,Violence and other injuries by persons or animals,0
 Fire fighting and prevention workers ,1,Violence and other injuries by persons or animals,0
 Firefighters ,2,Violence and other injuries by persons or animals,0
 Firefighters ,3,Violence and other injuries by persons or animals,0
 Private detectives and investigators ,2,Violence and other injuries by persons or animals,0
 Private detectives and investigators ,3,Violence and other injuries by persons or animals,0
 Miscellaneous protective service workers ,2,Violence and other injuries by persons or animals,0
 Crossing guards ,3,Violence and other injuries by persons or animals,0
 Chefs and head cooks ,3,Violence and other injuries by persons or animals,0
" Cooks, fast food ",3,Violence and other injuries by persons or animals,0
" Counter attendants, cafeteria, food concession, and coffee shop ",3,Violence and other injuries by persons or animals,0
 Supervisors of building and grounds cleaning and maintenance workers ,1,Violence and other injuries by persons or animals,0
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,Violence and other injuries by persons or animals,0
 First-line supervisors of housekeeping and janitorial workers ,3,Violence and other injuries by persons or animals,0
 Pest control workers ,2,Violence and other injuries by persons or animals,0
 Pest control workers ,3,Violence and other injuries by persons or animals,0
" Pesticide handlers, sprayers, and applicators, vegetation ",3,Violence and other injuries by persons or animals,0
 Tree trimmers and pruners ,3,Violence and other injuries by persons or animals,0
 Supervisors of personal care and service workers ,1,Violence and other injuries by persons or animals,0
 First-line supervisors of personal service workers ,2,Violence and other injuries by persons or animals,0
 First-line supervisors of personal service workers ,3,Violence and other injuries by persons or animals,0
 Animal trainers ,2,Violence and other injuries by persons or animals,0
 Animal trainers ,3,Violence and other injuries by persons or animals,0
 Miscellaneous entertainment attendants and related workers ,2,Violence and other injuries by persons or animals,0
 Amusement and recreation attendants ,3,Violence and other injuries by persons or animals,0
 Funeral service workers ,1,Violence and other injuries by persons or animals,0
" Morticians, undertakers, and funeral directors ",2,Violence and other injuries by persons or animals,0
" Morticians, undertakers, and funeral directors ",3,Violence and other injuries by persons or animals,0
 Barbers ,3,Violence and other injuries by persons or animals,0
 Tour and travel guides ,1,Violence and other injuries by persons or animals,0
 Tour and travel guides ,2,Violence and other injuries by persons or animals,0
 Tour guides and escorts ,3,Violence and other injuries by persons or animals,0
 Travel guides ,3,Violence and other injuries by persons or animals,0
 Recreation and fitness workers ,2,Violence and other injuries by persons or animals,0
 Fitness trainers and aerobics instructors ,3,Violence and other injuries by persons or animals,0
 Recreation workers ,3,Violence and other injuries by persons or animals,0
 Miscellaneous personal care and service workers ,2,Violence and other injuries by persons or animals,0
 Counter and rental clerks and parts salespersons ,2,Violence and other injuries by persons or animals,0
 Parts salespersons ,3,Violence and other injuries by persons or animals,0
" Sales representatives, services ",1,Violence and other injuries by persons or animals,0
 Insurance sales agents ,2,Violence and other injuries by persons or animals,0
 Insurance sales agents ,3,Violence and other injuries by persons or animals,0
" Miscellaneous sales representatives, services ",2,Violence and other injuries by persons or animals,0
" Sales representatives, wholesale and manufacturing ",1,Violence and other injuries by persons or animals,0
" Sales representatives, wholesale and manufacturing ",2,Violence and other injuries by persons or animals,0
" Sales representatives, wholesale and manufacturing, except technical and scientific products ",3,Violence and other injuries by persons or animals,0
 Sales engineers ,2,Violence and other injuries by persons or animals,0
 Sales engineers ,3,Violence and other injuries by persons or animals,0
 Billing and posting clerks ,2,Violence and other injuries by persons or animals,0
 Billing and posting clerks ,3,Violence and other injuries by persons or animals,0
" Hotel, motel, and resort desk clerks ",2,Violence and other injuries by persons or animals,0
" Hotel, motel, and resort desk clerks ",3,Violence and other injuries by persons or animals,0
" Interviewers, except eligibility and loan ",2,Violence and other injuries by persons or animals,0
" Interviewers, except eligibility and loan ",3,Violence and other injuries by persons or animals,0
 Receptionists and information clerks ,2,Violence and other injuries by persons or animals,0
 Receptionists and information clerks ,3,Violence and other injuries by persons or animals,0
 Couriers and messengers ,2,Violence and other injuries by persons or animals,0
 Couriers and messengers ,3,Violence and other injuries by persons or animals,0
 Secretaries and administrative assistants ,1,Violence and other injuries by persons or animals,0
 Secretaries and administrative assistants ,2,Violence and other injuries by persons or animals,0
" Secretaries and administrative assistants, except legal, medical, and executive ",3,Violence and other injuries by persons or animals,0
" Supervisors of farming, fishing, and forestry workers ",1,Violence and other injuries by persons or animals,0
" First-line supervisors of farming, fishing, and forestry workers ",2,Violence and other injuries by persons or animals,0
" First-line supervisors of farming, fishing, and forestry workers ",3,Violence and other injuries by persons or animals,0
" Graders and sorters, agricultural products ",2,Violence and other injuries by persons or animals,0
" Graders and sorters, agricultural products ",3,Violence and other injuries by persons or animals,0
 Agricultural equipment operators ,3,Violence and other injuries by persons or animals,0
 Hunters and trappers ,2,Violence and other injuries by persons or animals,0
 Hunters and trappers ,3,Violence and other injuries by persons or animals,0
" Forest, conservation, and logging workers ",1,Violence and other injuries by persons or animals,0
 Logging workers ,2,Violence and other injuries by persons or animals,0
 Fallers ,3,Violence and other injuries by persons or animals,0
 Logging equipment operators ,3,Violence and other injuries by persons or animals,0
 Boilermakers ,2,Violence and other injuries by persons or animals,0
 Boilermakers ,3,Violence and other injuries by persons or animals,0
" Brickmasons, blockmasons, and stonemasons ",2,Violence and other injuries by persons or animals,0
 Brickmasons and blockmasons ,3,Violence and other injuries by persons or animals,0
" Floor layers, except carpet, wood, and hard tiles ",3,Violence and other injuries by persons or animals,0
 Floor sanders and finishers ,3,Violence and other injuries by persons or animals,0
" Cement masons, concrete finishers, and terrazzo workers ",2,Violence and other injuries by persons or animals,0
 Cement masons and concrete finishers ,3,Violence and other injuries by persons or animals,0
 Construction equipment operators ,2,Violence and other injuries by persons or animals,0
" Paving, surfacing, and tamping equipment operators ",3,Violence and other injuries by persons or animals,0
 Pile-driver operators ,3,Violence and other injuries by persons or animals,0
 Operating engineers and other construction equipment operators ,3,Violence and other injuries by persons or animals,0
" Drywall installers, ceiling tile installers, and tapers ",2,Violence and other injuries by persons or animals,0
 Drywall and ceiling tile installers ,3,Violence and other injuries by persons or animals,0
 Insulation workers ,2,Violence and other injuries by persons or animals,0
" Insulation workers, floor, ceiling, and wall ",3,Violence and other injuries by persons or animals,0
 Pipelayers ,3,Violence and other injuries by persons or animals,0
 Reinforcing iron and rebar workers ,2,Violence and other injuries by persons or animals,0
 Reinforcing iron and rebar workers ,3,Violence and other injuries by persons or animals,0
 Sheet metal workers ,2,Violence and other injuries by persons or animals,0
 Sheet metal workers ,3,Violence and other injuries by persons or animals,0
 Structural iron and steel workers ,2,Violence and other injuries by persons or animals,0
 Structural iron and steel workers ,3,Violence and other injuries by persons or animals,0
 Solar photovoltaic installers ,2,Violence and other injuries by persons or animals,0
 Solar photovoltaic installers ,3,Violence and other injuries by persons or animals,0
" Helpers, construction trades ",1,Violence and other injuries by persons or animals,0
" Helpers, construction trades ",2,Violence and other injuries by persons or animals,0
 Helpers--roofers ,3,Violence and other injuries by persons or animals,0
 Elevator installers and repairers ,2,Violence and other injuries by persons or animals,0
 Elevator installers and repairers ,3,Violence and other injuries by persons or animals,0
 Fence erectors ,2,Violence and other injuries by persons or animals,0
 Fence erectors ,3,Violence and other injuries by persons or animals,0
 Hazardous materials removal workers ,2,Violence and other injuries by persons or animals,0
 Hazardous materials removal workers ,3,Violence and other injuries by persons or animals,0
 Highway maintenance workers ,2,Violence and other injuries by persons or animals,0
 Highway maintenance workers ,3,Violence and other injuries by persons or animals,0
 Rail-track laying and maintenance equipment operators ,2,Violence and other injuries by persons or animals,0
 Rail-track laying and maintenance equipment operators ,3,Violence and other injuries by persons or animals,0
 Septic tank servicers and sewer pipe cleaners ,2,Violence and other injuries by persons or animals,0
 Septic tank servicers and sewer pipe cleaners ,3,Violence and other injuries by persons or animals,0
 Miscellaneous construction and related workers ,2,Violence and other injuries by persons or animals,0
" Derrick, rotary drill, and service unit operators, oil, gas, and mining ",2,Violence and other injuries by persons or animals,0
" Derrick operators, oil and gas ",3,Violence and other injuries by persons or animals,0
" Rotary drill operators, oil and gas ",3,Violence and other injuries by persons or animals,0
" Service unit operators, oil, gas, and mining ",3,Violence and other injuries by persons or animals,0
" Earth drillers, except oil and gas ",2,Violence and other injuries by persons or animals,0
" Earth drillers, except oil and gas ",3,Violence and other injuries by persons or animals,0
" Explosives workers, ordnance handling experts, and blasters ",2,Violence and other injuries by persons or animals,0
" Explosives workers, ordnance handling experts, and blasters ",3,Violence and other injuries by persons or animals,0
 Mining machine operators ,2,Violence and other injuries by persons or animals,0
 Continuous mining machine operators ,3,Violence and other injuries by persons or animals,0
 Mine cutting and channeling machine operators ,3,Violence and other injuries by persons or animals,0
" Roustabouts, oil and gas ",2,Violence and other injuries by persons or animals,0
" Roustabouts, oil and gas ",3,Violence and other injuries by persons or animals,0
 Helpers--extraction workers ,2,Violence and other injuries by persons or animals,0
 Helpers--extraction workers ,3,Violence and other injuries by persons or animals,0
 Miscellaneous extraction workers ,2,Violence and other injuries by persons or animals,0
" Electrical and electronic equipment mechanics, installers, and repairers ",1,Violence and other injuries by persons or animals,0
 Radio and telecommunications equipment installers and repairers ,2,Violence and other injuries by persons or animals,0
" Radio, cellular, and tower equipment installers and repairers ",3,Violence and other injuries by persons or animals,0
" Telecommunications equipment installers and repairers, except line installers ",3,Violence and other injuries by persons or animals,0
" Miscellaneous electrical and electronic equipment mechanics, installers, and repairers ",2,Violence and other injuries by persons or animals,0
" Electrical and electronics repairers, powerhouse, substation, and relay ",3,Violence and other injuries by persons or animals,0
 Security and fire alarm systems installers ,3,Violence and other injuries by persons or animals,0
 Aircraft mechanics and service technicians ,2,Violence and other injuries by persons or animals,0
 Aircraft mechanics and service technicians ,3,Violence and other injuries by persons or animals,0
 Heavy vehicle and mobile equipment service technicians and mechanics ,2,Violence and other injuries by persons or animals,0
 Farm equipment mechanics and service technicians ,3,Violence and other injuries by persons or animals,0
" Mobile heavy equipment mechanics, except engines ",3,Violence and other injuries by persons or animals,0
 Outdoor power equipment and other small engine mechanics ,3,Violence and other injuries by persons or animals,0
" Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers ",2,Violence and other injuries by persons or animals,0
 Tire repairers and changers ,3,Violence and other injuries by persons or animals,0
" Industrial machinery installation, repair, and maintenance workers ",2,Violence and other injuries by persons or animals,0
 Industrial machinery mechanics ,3,Violence and other injuries by persons or animals,0
" Maintenance workers, machinery ",3,Violence and other injuries by persons or animals,0
 Millwrights ,3,Violence and other injuries by persons or animals,0
 Line installers and repairers ,2,Violence and other injuries by persons or animals,0
 Electrical power-line installers and repairers ,3,Violence and other injuries by persons or animals,0
 Telecommunications line installers and repairers ,3,Violence and other injuries by persons or animals,0
 Riggers ,3,Violence and other injuries by persons or animals,0
" Electrical, electronics, and electromechanical assemblers ",2,Violence and other injuries by persons or animals,0
 Electrical and electronic equipment assemblers ,3,Violence and other injuries by persons or animals,0
 Miscellaneous assemblers and fabricators ,2,Violence and other injuries by persons or animals,0
" Butchers and other meat, poultry, and fish processing workers ",2,Violence and other injuries by persons or animals,0
 Miscellaneous food processing workers ,2,Violence and other injuries by persons or animals,0
 Computer control programmers and operators ,2,Violence and other injuries by persons or animals,0
" Computer-controlled machine tool operators, metal and plastic ",3,Violence and other injuries by persons or animals,0
" Forming machine setters, operators, and tenders, metal and plastic ",2,Violence and other injuries by persons or animals,0
" Rolling machine setters, operators, and tenders, metal and plastic ",3,Violence and other injuries by persons or animals,0
" Grinding, lapping, polishing, buffing mach tool setters, operators and tenders, metal and plastic ",3,Violence and other injuries by persons or animals,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",2,Violence and other injuries by persons or animals,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",3,Violence and other injuries by persons or animals,0
 Miscellaneous metalworkers and plastic workers ,2,Violence and other injuries by persons or animals,0
" Miscellaneous textile, apparel, and furnishings workers ",2,Violence and other injuries by persons or animals,0
 Woodworkers ,1,Violence and other injuries by persons or animals,0
 Cabinetmakers and bench carpenters ,2,Violence and other injuries by persons or animals,0
 Cabinetmakers and bench carpenters ,3,Violence and other injuries by persons or animals,0
" Woodworking machine setters, operators, and tenders ",2,Violence and other injuries by persons or animals,0
" Sawing machine setters, operators, and tenders, wood ",3,Violence and other injuries by persons or animals,0
 Plant and system operators ,1,Violence and other injuries by persons or animals,0
" Power plant operators, distributors, and dispatchers ",2,Violence and other injuries by persons or animals,0
 Power plant operators ,3,Violence and other injuries by persons or animals,0
 Stationary engineers and boiler operators ,2,Violence and other injuries by persons or animals,0
 Stationary engineers and boiler operators ,3,Violence and other injuries by persons or animals,0
 Water and wastewater treatment plant and system operators ,2,Violence and other injuries by persons or animals,0
 Water and wastewater treatment plant and system operators ,3,Violence and other injuries by persons or animals,0
 Miscellaneous plant and system operators ,2,Violence and other injuries by persons or animals,0
" Petroleum pump system operators, refinery operators, and gaugers ",3,Violence and other injuries by persons or animals,0
" Crushing, grinding, polishing, mixing, and blending workers ",2,Violence and other injuries by persons or animals,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",2,Violence and other injuries by persons or animals,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",3,Violence and other injuries by persons or animals,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",2,Violence and other injuries by persons or animals,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",3,Violence and other injuries by persons or animals,0
" Inspectors, testers, sorters, samplers, and weighers ",2,Violence and other injuries by persons or animals,0
" Inspectors, testers, sorters, samplers, and weighers ",3,Violence and other injuries by persons or animals,0
 Packaging and filling machine operators and tenders ,2,Violence and other injuries by persons or animals,0
 Packaging and filling machine operators and tenders ,3,Violence and other injuries by persons or animals,0
 Painting workers ,2,Violence and other injuries by persons or animals,0
" Coating, painting, and spraying machine setters, operators, and tenders ",3,Violence and other injuries by persons or animals,0
" Painters, transportation equipment ",3,Violence and other injuries by persons or animals,0
" Painting, coating, and decorating workers ",3,Violence and other injuries by persons or animals,0
 Cooling and freezing equipment operators and tenders ,3,Violence and other injuries by persons or animals,0
" Molders, shapers, and casters, except metal and plastic ",3,Violence and other injuries by persons or animals,0
" Paper goods machine setters, operators, and tenders ",3,Violence and other injuries by persons or animals,0
 Helpers--production workers ,3,Violence and other injuries by persons or animals,0
" First-line supervisors of helpers, laborers, and material movers, hand ",2,Violence and other injuries by persons or animals,0
" First-line supervisors of helpers, laborers, and material movers, hand ",3,Violence and other injuries by persons or animals,0
 First-line supervisors of transportation and material-moving machine and vehicle operators ,2,Violence and other injuries by persons or animals,0
 First-line supervisors of transportation and material-moving machine and vehicle operators ,3,Violence and other injuries by persons or animals,0
 Air transportation workers ,1,Violence and other injuries by persons or animals,0
 Aircraft pilots and flight engineers ,2,Violence and other injuries by persons or animals,0
" Airline pilots, copilots, and flight engineers ",3,Violence and other injuries by persons or animals,0
 Commercial pilots ,3,Violence and other injuries by persons or animals,0
 Flight attendants ,2,Violence and other injuries by persons or animals,0
 Flight attendants ,3,Violence and other injuries by persons or animals,0
" Bus drivers, transit and intercity ",3,Violence and other injuries by persons or animals,0
 Miscellaneous motor vehicle operators ,2,Violence and other injuries by persons or animals,0
 Rail transportation workers ,1,Violence and other injuries by persons or animals,0
 Locomotive engineers and operators ,2,Violence and other injuries by persons or animals,0
 Locomotive engineers ,3,Violence and other injuries by persons or animals,0
 Railroad conductors and yardmasters ,2,Violence and other injuries by persons or animals,0
 Railroad conductors and yardmasters ,3,Violence and other injuries by persons or animals,0
 Water transportation workers ,1,Violence and other injuries by persons or animals,0
 Sailors and marine oilers ,2,Violence and other injuries by persons or animals,0
 Sailors and marine oilers ,3,Violence and other injuries by persons or animals,0
 Ship and boat captains and operators ,2,Violence and other injuries by persons or animals,0
" Captains, mates, and pilots of water vessels ",3,Violence and other injuries by persons or animals,0
 Parking lot attendants ,2,Violence and other injuries by persons or animals,0
 Parking lot attendants ,3,Violence and other injuries by persons or animals,0
 Transportation inspectors ,2,Violence and other injuries by persons or animals,0
 Transportation inspectors ,3,Violence and other injuries by persons or animals,0
 Conveyor operators and tenders ,2,Violence and other injuries by persons or animals,0
 Conveyor operators and tenders ,3,Violence and other injuries by persons or animals,0
 Crane and tower operators ,2,Violence and other injuries by persons or animals,0
 Crane and tower operators ,3,Violence and other injuries by persons or animals,0
" Dredge, excavating, and loading machine operators ",2,Violence and other injuries by persons or animals,0
 Excavating and loading machine and dragline operators ,3,Violence and other injuries by persons or animals,0
" Loading machine operators, underground mining ",3,Violence and other injuries by persons or animals,0
 Cleaners of vehicles and equipment ,3,Violence and other injuries by persons or animals,0
" Packers and packagers, hand ",3,Violence and other injuries by persons or animals,0
 Pumping station operators ,2,Violence and other injuries by persons or animals,0
" Pump operators, except wellhead pumpers ",3,Violence and other injuries by persons or animals,0
 Wellhead pumpers ,3,Violence and other injuries by persons or animals,0
 Refuse and recyclable material collectors ,2,Violence and other injuries by persons or animals,0
 Refuse and recyclable material collectors ,3,Violence and other injuries by persons or animals,0
 Mine shuttle car operators ,2,Violence and other injuries by persons or animals,0
 Mine shuttle car operators ,3,Violence and other injuries by persons or animals,0
 Industrial production managers ,2,Transportation incidents,0
 Industrial production managers ,3,Transportation incidents,0
" Transportation, storage, and distribution managers ",2,Transportation incidents,0
" Transportation, storage, and distribution managers ",3,Transportation incidents,0
 Construction managers ,2,Transportation incidents,0
 Construction managers ,3,Transportation incidents,0
 Education administrators ,2,Transportation incidents,0
" Education administrators, elementary and secondary school ",3,Transportation incidents,0
" Education administrators, postsecondary ",3,Transportation incidents,0
 Food service managers ,2,Transportation incidents,0
 Food service managers ,3,Transportation incidents,0
 Gaming managers ,2,Transportation incidents,0
 Gaming managers ,3,Transportation incidents,0
 Medical and health services managers ,2,Transportation incidents,0
 Medical and health services managers ,3,Transportation incidents,0
 Natural sciences managers ,2,Transportation incidents,0
 Natural sciences managers ,3,Transportation incidents,0
" Property, real estate, and community association managers ",2,Transportation incidents,0
" Property, real estate, and community association managers ",3,Transportation incidents,0
 Social and community service managers ,2,Transportation incidents,0
 Social and community service managers ,3,Transportation incidents,0
 Buyers and purchasing agents ,2,Transportation incidents,0
" Buyers and purchasing agents, farm products ",3,Transportation incidents,0
 Compliance officers ,2,Transportation incidents,0
 Compliance officers ,3,Transportation incidents,0
" Meeting, convention, and event planners ",2,Transportation incidents,0
" Meeting, convention, and event planners ",3,Transportation incidents,0
 Appraisers and assessors of real estate ,2,Transportation incidents,0
 Appraisers and assessors of real estate ,3,Transportation incidents,0
 Financial analysts and advisors ,2,Transportation incidents,0
 Financial analysts ,3,Transportation incidents,0
 Personal financial advisors ,3,Transportation incidents,0
 Miscellaneous financial specialists ,2,Transportation incidents,0
 Computer systems analysts ,3,Transportation incidents,0
 Information security analysts ,3,Transportation incidents,0
 Software developers and programmers ,2,Transportation incidents,0
" Software developers, systems software ",3,Transportation incidents,0
 Miscellaneous computer occupations ,2,Transportation incidents,0
 Civil engineers ,2,Transportation incidents,0
 Civil engineers ,3,Transportation incidents,0
 Electrical and electronics engineers ,2,Transportation incidents,0
 Electrical engineers ,3,Transportation incidents,0
 Mechanical engineers ,2,Transportation incidents,0
 Mechanical engineers ,3,Transportation incidents,0
" Mining and geological engineers, including mining safety engineers ",2,Transportation incidents,0
" Mining and geological engineers, including mining safety engineers ",3,Transportation incidents,0
 Biological scientists ,2,Transportation incidents,0
 Zoologists and wildlife biologists ,3,Transportation incidents,0
 Conservation scientists and foresters ,2,Transportation incidents,0
 Physical scientists ,1,Transportation incidents,0
 Chemists and materials scientists ,2,Transportation incidents,0
 Chemists ,3,Transportation incidents,0
 Social scientists and related workers ,1,Transportation incidents,0
 Economists ,2,Transportation incidents,0
 Economists ,3,Transportation incidents,0
 Psychologists ,2,Transportation incidents,0
" Clinical, counseling, and school psychologists ",3,Transportation incidents,0
" Life, physical, and social science technicians ",1,Transportation incidents,0
" Miscellaneous life, physical, and social science technicians ",2,Transportation incidents,0
 Forest and conservation technicians ,3,Transportation incidents,0
" Child, family, and school social workers ",3,Transportation incidents,0
 Mental health and substance abuse social workers ,3,Transportation incidents,0
 Clergy ,2,Transportation incidents,0
 Clergy ,3,Transportation incidents,0
" Judges, magistrates, and other judicial workers ",2,Transportation incidents,0
" Judges, magistrate judges, and magistrates ",3,Transportation incidents,0
 Legal support workers ,1,Transportation incidents,0
 Postsecondary teachers ,1,Transportation incidents,0
 Miscellaneous postsecondary teachers ,2,Transportation incidents,0
" Vocational education teachers, postsecondary ",3,Transportation incidents,0
 Elementary and middle school teachers ,2,Transportation incidents,0
" Elementary school teachers, except special education ",3,Transportation incidents,0
" Middle school teachers, except special and career/technical education ",3,Transportation incidents,0
" Other education, training, and library occupations ",1,Transportation incidents,0
 Teacher assistants ,2,Transportation incidents,0
 Teacher assistants ,3,Transportation incidents,0
 Art and design workers ,1,Transportation incidents,0
 Designers ,2,Transportation incidents,0
 Commercial and industrial designers ,3,Transportation incidents,0
 Floral designers ,3,Transportation incidents,0
 Graphic designers ,3,Transportation incidents,0
 Interior designers ,3,Transportation incidents,0
 Merchandise displayers and window trimmers ,3,Transportation incidents,0
" Actors, producers, and directors ",2,Transportation incidents,0
 Producers and directors ,3,Transportation incidents,0
" Musicians, singers, and related workers ",2,Transportation incidents,0
 Musicians and singers ,3,Transportation incidents,0
" Miscellaneous entertainers and performers, sports and related workers ",2,Transportation incidents,0
 Writers and editors ,2,Transportation incidents,0
 Editors ,3,Transportation incidents,0
 Miscellaneous media and communication workers ,2,Transportation incidents,0
 Broadcast technicians ,3,Transportation incidents,0
 Sound engineering technicians ,3,Transportation incidents,0
 Chiropractors ,2,Transportation incidents,0
 Chiropractors ,3,Transportation incidents,0
 Pharmacists ,2,Transportation incidents,0
 Pharmacists ,3,Transportation incidents,0
 Physicians and surgeons ,2,Transportation incidents,0
 Health practitioner support technologists and technicians ,2,Transportation incidents,0
 Pharmacy technicians ,3,Transportation incidents,0
 Ophthalmic medical technicians ,3,Transportation incidents,0
 Licensed practical and licensed vocational nurses ,2,Transportation incidents,0
 Licensed practical and licensed vocational nurses ,3,Transportation incidents,0
" Nursing, psychiatric, and home health aides ",1,Transportation incidents,0
" Nursing, psychiatric, and home health aides ",2,Transportation incidents,0
 Home health aides ,3,Transportation incidents,0
 Nursing assistants ,3,Transportation incidents,0
 Other healthcare support occupations ,1,Transportation incidents,0
 Massage therapists ,2,Transportation incidents,0
 Massage therapists ,3,Transportation incidents,0
 Miscellaneous healthcare support occupations ,2,Transportation incidents,0
 Phlebotomists ,3,Transportation incidents,0
" Miscellaneous first-line supervisors, protective service workers ",2,Transportation incidents,0
" Bailiffs, correctional officers, and jailers ",2,Transportation incidents,0
 Correctional officers and jailers ,3,Transportation incidents,0
 Detectives and criminal investigators ,2,Transportation incidents,0
 Detectives and criminal investigators ,3,Transportation incidents,0
 Private detectives and investigators ,2,Transportation incidents,0
 Private detectives and investigators ,3,Transportation incidents,0
 Supervisors of food preparation and serving workers ,1,Transportation incidents,0
 First-line supervisors of food preparation and serving workers ,2,Transportation incidents,0
 Chefs and head cooks ,3,Transportation incidents,0
 First-line supervisors of food preparation and serving workers ,3,Transportation incidents,0
" Cooks, fast food ",3,Transportation incidents,0
" Cooks, restaurant ",3,Transportation incidents,0
 Food preparation workers ,2,Transportation incidents,0
 Food preparation workers ,3,Transportation incidents,0
 Bartenders ,2,Transportation incidents,0
 Bartenders ,3,Transportation incidents,0
" Combined food preparation and serving workers, including fast food ",3,Transportation incidents,0
 Waiters and waitresses ,2,Transportation incidents,0
 Waiters and waitresses ,3,Transportation incidents,0
 Other food preparation and serving related workers ,1,Transportation incidents,0
 Dining room and cafeteria attendants and bartender helpers ,2,Transportation incidents,0
 Dining room and cafeteria attendants and bartender helpers ,3,Transportation incidents,0
 Dishwashers ,2,Transportation incidents,0
 Dishwashers ,3,Transportation incidents,0
 Miscellaneous food preparation and serving related workers ,2,Transportation incidents,0
 Maids and housekeeping cleaners ,3,Transportation incidents,0
 Supervisors of personal care and service workers ,1,Transportation incidents,0
 First-line supervisors of personal service workers ,2,Transportation incidents,0
 First-line supervisors of personal service workers ,3,Transportation incidents,0
 Animal trainers ,2,Transportation incidents,0
 Animal trainers ,3,Transportation incidents,0
 Nonfarm animal caretakers ,2,Transportation incidents,0
 Nonfarm animal caretakers ,3,Transportation incidents,0
 Entertainment attendants and related workers ,1,Transportation incidents,0
 Miscellaneous entertainment attendants and related workers ,2,Transportation incidents,0
 Amusement and recreation attendants ,3,Transportation incidents,0
 Funeral service workers ,1,Transportation incidents,0
" Morticians, undertakers, and funeral directors ",2,Transportation incidents,0
" Morticians, undertakers, and funeral directors ",3,Transportation incidents,0
 Personal appearance workers ,1,Transportation incidents,0
" Barbers, hairdressers, hairstylists and cosmetologists ",2,Transportation incidents,0
 Barbers ,3,Transportation incidents,0
 Tour and travel guides ,1,Transportation incidents,0
 Tour and travel guides ,2,Transportation incidents,0
 Tour guides and escorts ,3,Transportation incidents,0
 Travel guides ,3,Transportation incidents,0
 Fitness trainers and aerobics instructors ,3,Transportation incidents,0
 Miscellaneous personal care and service workers ,2,Transportation incidents,0
 Counter and rental clerks and parts salespersons ,2,Transportation incidents,0
 Parts salespersons ,3,Transportation incidents,0
 Insurance sales agents ,2,Transportation incidents,0
 Insurance sales agents ,3,Transportation incidents,0
 Real estate sales agents ,3,Transportation incidents,0
 Sales engineers ,2,Transportation incidents,0
 Sales engineers ,3,Transportation incidents,0
 Miscellaneous sales and related workers ,2,Transportation incidents,0
" Door-to-door sales workers, news and street vendors, and related workers ",3,Transportation incidents,0
 Supervisors of office and administrative support workers ,1,Transportation incidents,0
 First-line supervisors of office and administrative support workers ,2,Transportation incidents,0
 First-line supervisors of office and administrative support workers ,3,Transportation incidents,0
 Billing and posting clerks ,2,Transportation incidents,0
 Billing and posting clerks ,3,Transportation incidents,0
" Hotel, motel, and resort desk clerks ",2,Transportation incidents,0
" Hotel, motel, and resort desk clerks ",3,Transportation incidents,0
 Dispatchers ,2,Transportation incidents,0
" Dispatchers, except police, fire, and ambulance ",3,Transportation incidents,0
" Shipping, receiving, and traffic clerks ",2,Transportation incidents,0
" Shipping, receiving, and traffic clerks ",3,Transportation incidents,0
 Stock clerks and order fillers ,2,Transportation incidents,0
 Stock clerks and order fillers ,3,Transportation incidents,0
 Secretaries and administrative assistants ,1,Transportation incidents,0
 Secretaries and administrative assistants ,2,Transportation incidents,0
" Secretaries and administrative assistants, except legal, medical, and executive ",3,Transportation incidents,0
" Graders and sorters, agricultural products ",2,Transportation incidents,0
" Graders and sorters, agricultural products ",3,Transportation incidents,0
 Hunters and trappers ,2,Transportation incidents,0
 Hunters and trappers ,3,Transportation incidents,0
 Boilermakers ,2,Transportation incidents,0
 Boilermakers ,3,Transportation incidents,0
" Floor layers, except carpet, wood, and hard tiles ",3,Transportation incidents,0
" Cement masons, concrete finishers, and terrazzo workers ",2,Transportation incidents,0
